Fire_station_#,x_6degree_UTM_coordinate,y_6degree_UTM_coordinate,longitude,latitude
111,629254.562,4849606.5,-79.3935388902956,43.788229732102195
112,625241.895,4847922.113,-79.44378589167073,43.77375938992444
113,632675.0,4849871.0,-79.35097911747353,43.79000491138441
114,627526.5,4847651.5,-79.4154730918481,43.77093376186117
115,633496.245,4847881.079,-79.34127140433283,43.77194776491987
116,631535.936,4847282.749,-79.36576561499514,43.766913523840884
121,628261.812,4844955.5,-79.40698432721588,43.74654166307902
122,630091.688,4844954.0,-79.38426642700259,43.746209191478414
123,633104.622,4844755.216,-79.34691034678609,43.743885076603874
125,632958.45,4841971.252,-79.34941344214026,43.71885510833858
131,628665.625,4842478.0,-79.40256389625715,43.724173117128245
132,626539.311,4841703.887,-79.42913517638746,43.717571514636305
133,622244.5,4840261.0,-79.48276013052157,43.70530458020381
134,628901.256,4840642.932,-79.40007917365483,43.707615777738575
135,627576.438,4839857.5,-79.4167026867378,43.700775420315104
141,621409.188,4846709.0,-79.49166775854893,43.76347891365293
142,619595.812,4844405.0,-79.51470188131098,43.74303596449391
143,624007.938,4845146.5,-79.45975432457341,43.748984849036525
145,624002.812,4843343.5,-79.46023402080071,43.7327575138757
146,620054.25,4841956.5,-79.50955705856988,43.72092318848372
211,641300.075,4853574.63,-79.24284900094587,43.821739307196786
212,645764.935,4851606.134,-79.18788870685647,43.8031572319549
213,642709.0,4850414.0,-79.226178628899,43.793024567995595
214,647686.312,4850441.0,-79.16433581256747,43.79229080461562
215,649046.25,4848570.0,-79.1479612232898,43.775180725081626
222,638197.445,4842019.56,-79.28439077092395,43.71833234202892
223,642316.438,4842510.0,-79.23315070242376,43.72196734553088
224,635633.938,4839170.5,-79.31691874137361,43.693163728128795
225,639459.956,4839264.504,-79.26943841672964,43.69330094615747
226,637089.386,4837704.345,-79.29923886438405,43.679700972274276
227,636648.375,4836289.5,-79.30506629820486,43.667048517786895
231,642678.312,4847022.0,-79.22746216976152,43.76250403688242
232,639552.125,4845858.0,-79.26658457278646,43.75262393256445
233,635686.938,4844606.0,-79.31489056966379,43.74207386244131
234,645606.375,4846711.0,-79.19118797501105,43.75913540036167
235,635729.125,4842398.0,-79.31492429235216,43.72219406891065
241,634749.062,4852370.5,-79.32458265349408,43.812125546469346
242,638537.125,4851616.0,-79.27769926169377,43.80463519459464
243,639750.062,4849682.5,-79.2631310103268,43.787006099865785
244,636876.812,4848822.0,-79.29904485428351,43.779798726299276
245,637524.288,4846723.183,-79.29154017655722,43.76078965187388
311,629474.0,4838022.5,-79.3936029167939,43.683931014146246
312,629821.438,4836437.5,-79.38967553655289,43.66960463660142
313,630927.875,4836543.0,-79.37593092881026,43.67036004401613
314,630172.125,4835471.0,-79.38556046986479,43.66084434040146
315,628633.188,4834788.0,-79.40480235361399,43.65496489204968
321,631739.25,4840634.0,-79.36487020612165,43.707036985271834
322,633610.0,4838678.0,-79.34214547437985,43.68909810865455
323,634205.0,4837431.5,-79.33507605939418,43.67777205750646
324,633570.125,4836073.5,-79.34328529025852,43.665664136873886
325,631818.25,4835138.5,-79.3652340184481,43.657561599863264
326,635025.188,4835422.5,-79.32540812966396,43.659542063343615
331,628225.75,4833717.5,-79.4101073703645,43.645400148084285
332,629856.188,4833825.0,-79.38987326269421,43.6460847896723
333,631741.875,4834151.5,-79.3664216907097,43.64869175281315
334,629938.741,4832672.722,-79.38912724901657,43.635699277438796
335,632600.75,4831690.5,-79.35638011218529,43.62638917734806
341,625584.625,4838884.0,-79.44164013485633,43.6923529714176
342,625042.625,4837193.0,-79.44875563438639,43.67722426647611
343,626445.188,4837353.0,-79.43132469150939,43.678426950781045
344,628033.938,4836538.0,-79.41181564027937,43.6708193513822
345,625878.938,4835910.0,-79.43868381385656,43.66553514606355
346,627310.907,4832179.37,-79.42180888865471,43.63171314414121
411,616990.25,4845405.0,-79.54683301062647,43.75245285243835
412,611273.5,4843477.0,-79.61822068440826,43.73597903420854
413,613721.562,4843825.0,-79.58775635940985,43.73873994120191
415,615177.812,4841340.5,-79.57020968720558,43.71615178049483
421,622157.688,4837701.0,-79.48441776264904,43.68227673193259
422,621659.188,4835492.5,-79.49109865011171,43.662480071358466
423,623776.0,4835617.0,-79.4648251322793,43.66325115097279
424,622593.0,4834825.5,-79.47967239885936,43.65632304384714
425,622722.938,4833689.0,-79.47831989363847,43.646072103893786
426,625925.812,4833402.0,-79.43868772341547,43.64295343296242
431,620595.562,4833435.5,-79.50474557367919,43.64413839287307
432,617004.0,4830799.0,-79.54983364287392,43.6209804704939
433,620748.188,4831423.5,-79.50330345221633,43.62600359827828
434,617493.188,4828488.5,-79.54427429098278,43.600106103445256
435,620520.25,4828375.0,-79.50680703400447,43.59860082276981
441,615019.438,4838808.0,-79.57271615600924,43.693380872571595
442,619757.75,4839479.0,-79.51378805315207,43.698671309782284
443,617862.125,4836773.5,-79.53789717689835,43.67462234172817
444,614329.062,4834499.5,-79.58219399756227,43.6547055737691
445,617290.5,4833754.0,-79.54564239366739,43.647533873946585
